2026-03-23 12:58:38 | INFO | case=68 | id=mass_5/html/0255-01.html | n_tokens=2090 | text=7.62KB | kv_est=653.12MB | pt=0.00B | kv_time=2.022s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:41 | INFO | case=69 | id=mass_5/html/0259-01.html | n_tokens=3145 | text=12.40KB | kv_est=982.81MB | pt=0.00B | kv_time=3.069s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:42 | INFO | case=70 | id=mass_5/html/0264-01.html | n_tokens=884 | text=3.32KB | kv_est=276.25MB | pt=0.00B | kv_time=0.894s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:43 | INFO | case=71 | id=mass_5/html/0266-01.html | n_tokens=635 | text=2.23KB | kv_est=198.44MB | pt=0.00B | kv_time=0.649s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:47 | INFO | case=72 | id=mass_5/html/0267-01.html | n_tokens=4462 | text=16.59KB | kv_est=1.36GB | pt=0.00B | kv_time=4.468s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:48 | INFO | case=73 | id=mass_5/html/0273-01.html | n_tokens=1315 | text=5.22KB | kv_est=410.94MB | pt=0.00B | kv_time=1.362s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:50 | INFO | case=74 | id=mass_5/html/0276-01.html | n_tokens=1385 | text=5.64KB | kv_est=432.81MB | pt=0.00B | kv_time=1.372s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:52 | INFO | case=75 | id=mass_5/html/0278-01.html | n_tokens=2496 | text=8.65KB | kv_est=780.00MB | pt=0.00B | kv_time=2.408s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:53 | INFO | case=76 | id=mass_5/html/0281-01.html | n_tokens=490 | text=1.78KB | kv_est=153.12MB | pt=0.00B | kv_time=0.526s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:53 | INFO | case=77 | id=mass_5/html/0282-01.html | n_tokens=431 | text=1.59KB | kv_est=134.69MB | pt=0.00B | kv_time=0.485s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:57 | INFO | case=78 | id=mass_5/html/0284-01.html | n_tokens=4209 | text=16.11KB | kv_est=1.28GB | pt=0.00B | kv_time=4.221s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:58 | INFO | case=79 | id=mass_5/html/0290-01.html | n_tokens=378 | text=1.45KB | kv_est=118.12MB | pt=0.00B | kv_time=0.413s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:58 | INFO | case=80 | id=mass_5/html/0292-01.html | n_tokens=277 | text=1.04KB | kv_est=86.56MB | pt=0.00B | kv_time=0.342s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:59:00 | INFO | case=81 | id=mass_5/html/0293-01.html | n_tokens=1984 | text=7.47KB | kv_est=620.00MB | pt=0.00B | kv_time=1.940s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:59:01 | INFO | case=82 | id=mass_5/html/0296-01.html | n_tokens=395 | text=1.58KB | kv_est=123.44MB | pt=0.00B | kv_time=0.444s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:59:03 | INFO | case=83 | id=mass_5/html/0296-02.html | n_tokens=2129 | text=8.29KB | kv_est=665.31MB | pt=0.00B | kv_time=2.116s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:59:05 | INFO | case=84 | id=mass_5/html/0300-01.html | n_tokens=2437 | text=9.34KB | kv_est=761.56MB | pt=0.00B | kv_time=2.486s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:59:06 | INFO | case=85 | id=mass_5/html/0303-01.html | n_tokens=304 | text=1.12KB | kv_est=95.00MB | pt=0.00B | kv_time=0.338s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:59:06 | INFO | case=86 | id=mass_5/html/0304-01.html | n_tokens=712 | text=2.57KB | kv_est=222.50MB | pt=0.00B | kv_time=0.746s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:59:08 | INFO | case=87 | id=mass_5/html/0305-01.html | n_tokens=1640 | text=6.31KB | kv_est=512.50MB | pt=0.00B | kv_time=1.604s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:59:10 | INFO | case=88 | id=mass_5/html/0308-01.html | n_tokens=1954 | text=7.60KB | kv_est=610.62MB | pt=0.00B | kv_time=1.941s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:59:13 | INFO | case=89 | id=mass_5/html/0311-01.html | n_tokens=3173 | text=12.19KB | kv_est=991.56MB | pt=0.00B | kv_time=3.066s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:59:13 | INFO | case=90 | id=mass_5/html/0315-01.html | n_tokens=461 | text=1.87KB | kv_est=144.06MB | pt=0.00B | kv_time=0.501s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:59:14 | INFO | case=91 | id=mass_5/html/0316-01.html | n_tokens=326 | text=1.26KB | kv_est=101.88MB | pt=0.00B | kv_time=0.394s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:59:16 | INFO | case=92 | id=mass_5/html/0317-01.html | n_tokens=2281 | text=8.91KB | kv_est=712.81MB | pt=0.00B | kv_time=2.211s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:59:20 | INFO | case=93 | id=mass_5/html/0320-01.html | n_tokens=3487 | text=13.58KB | kv_est=1.06GB | pt=0.00B | kv_time=3.490s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:59:20 | INFO | case=94 | id=mass_5/html/0326-01.html | n_tokens=254 | text=1021.00B | kv_est=79.38MB | pt=0.00B | kv_time=0.269s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:59:23 | INFO | case=95 | id=mass_5/html/0327-01.html | n_tokens=3509 | text=13.56KB | kv_est=1.07GB | pt=0.00B | kv_time=3.452s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:59:24 | INFO | case=96 | id=mass_5/html/0332-01.html | n_tokens=386 | text=1.37KB | kv_est=120.62MB | pt=0.00B | kv_time=0.447s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:59:25 | INFO | case=97 | id=mass_5/html/0333-01.html | n_tokens=1495 | text=5.37KB | kv_est=467.19MB | pt=0.00B | kv_time=1.521s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:59:28 | INFO | case=98 | id=mass_5/html/0335-01.html | n_tokens=2143 | text=8.36KB | kv_est=669.69MB | pt=0.00B | kv_time=2.117s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:59:29 | INFO | case=99 | id=mass_5/html/0338-01.html | n_tokens=1897 | text=7.10KB | kv_est=592.81MB | pt=0.00B | kv_time=1.816s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 13:00:04 | INFO | case=100 | id=mass_5/html/0341-01.html | n_tokens=27339 | text=105.04KB | kv_est=8.34GB | pt=0.00B | kv_time=34.393s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 13:00:04 | INFO | PROGRESS cases=100 (skipped: not_reporter=461032, bad_id=41, missing_text=0, already_exists=0) | pt_total=0.00B | kv_time_sum=262.8s | wall=372.6s
2026-03-23 13:00:05 | INFO | case=101 | id=mass_5/html/0378-01.html | n_tokens=824 | text=3.01KB | kv_est=257.50MB | pt=0.00B | kv_time=0.845s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 13:00:06 | INFO | case=102 | id=mass_5/html/0380-01.html | n_tokens=1457 | text=5.95KB | kv_est=455.31MB | pt=0.00B | kv_time=1.419s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 13:00:09 | INFO | case=103 | id=mass_5/html/0382-01.html | n_tokens=3046 | text=11.36KB | kv_est=951.88MB | pt=0.00B | kv_time=2.988s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 13:00:12 | INFO | case=104 | id=mass_5/html/0386-01.html | n_tokens=3023 | text=11.43KB | kv_est=944.69MB | pt=0.00B | kv_time=3.084s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 13:00:14 | INFO | case=105 | id=mass_5/html/0391-01.html | n_tokens=1891 | text=7.48KB | kv_est=590.94MB | pt=0.00B | kv_time=1.818s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 13:00:16 | INFO | case=106 | id=mass_5/html/0394-01.html | n_tokens=2394 | text=8.88KB | kv_est=748.12MB | pt=0.00B | kv_time=2.445s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 13:00:18 | INFO | case=107 | id=mass_5/html/0397-01.html | n_tokens=1570 | text=5.90KB | kv_est=490.62MB | pt=0.00B | kv_time=1.573s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 13:00:20 | INFO | case=108 | id=mass_5/html/0399-01.html | n_tokens=1570 | text=6.23KB | kv_est=490.62MB | pt=0.00B | kv_time=1.562s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 13:00:21 | INFO | case=109 | id=mass_5/html/0403-01.html | n_tokens=1406 | text=4.96KB | kv_est=439.38MB | pt=0.00B | kv_time=1.377s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 13:00:21 | INFO | case=110 | id=mass_5/html/0405-01.html | n_tokens=377 | text=1.33KB | kv_est=117.81MB | pt=0.00B | kv_time=0.403s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 13:00:27 | INFO | case=111 | id=mass_5/html/0406-01.html | n_tokens=5075 | text=20.21KB | kv_est=1.55GB | pt=0.00B | kv_time=5.128s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 13:00:28 | INFO | case=112 | id=mass_5/html/0414-01.html | n_tokens=1816 | text=6.61KB | kv_est=567.50MB | pt=0.00B | kv_time=1.785s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 13:00:30 | INFO | case=113 | id=mass_5/html/0416-01.html | n_tokens=2290 | text=7.47KB | kv_est=715.62MB | pt=0.00B | kv_time=2.203s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 13:00:31 | INFO | case=114 | id=mass_5/html/0419-01.html | n_tokens=806 | text=2.87KB | kv_est=251.88MB | pt=0.00B | kv_time=0.835s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 13:00:33 | INFO | case=115 | id=mass_5/html/0421-01.html | n_tokens=1248 | text=4.71KB | kv_est=390.00MB | pt=0.00B | kv_time=1.218s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 13:00:33 | INFO | case=116 | id=mass_5/html/0423-01.html | n_tokens=734 | text=2.69KB | kv_est=229.38MB | pt=0.00B | kv_time=0.756s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 13:00:40 | INFO | case=117 | id=mass_5/html/0424-01.html | n_tokens=6753 | text=26.14KB | kv_est=2.06GB | pt=0.00B | kv_time=6.910s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 13:00:48 | INFO | case=118 | id=mass_50/html/0001-01.html | n_tokens=7991 | text=30.43KB | kv_est=2.44GB | pt=0.00B | kv_time=8.205s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 13:00:52 | INFO | case=119 | id=mass_50/html/0016-01.html | n_tokens=4090 | text=16.19KB | kv_est=1.25GB | pt=0.00B | kv_time=3.971s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 13:00:55 | INFO | case=120 | id=mass_50/html/0023-01.html | n_tokens=2762 | text=10.12KB | kv_est=863.12MB | pt=0.00B | kv_time=2.743s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 13:01:02 | INFO | case=121 | id=mass_50/html/0028-01.html | n_tokens=6525 | text=24.02KB | kv_est=1.99GB | pt=0.00B | kv_time=6.675s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 13:01:04 | INFO | case=122 | id=mass_50/html/0039-01.html | n_tokens=1874 | text=7.24KB | kv_est=585.62MB | pt=0.00B | kv_time=1.818s | gpu_alloc=30.45GB gpu_reserved=30.45GB
