2026-03-23 18:53:04 | INFO | case=95 | id=mass_57/html/0169-01.html | n_tokens=2650 | text=9.35KB | kv_est=828.12MB | pt=828.15MB | kv_time=3.350s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:53:09 | INFO | case=96 | id=mass_57/html/0174-01.html | n_tokens=4140 | text=16.15KB | kv_est=1.26GB | pt=1.26GB | kv_time=5.263s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:53:13 | INFO | case=97 | id=mass_57/html/0181-01.html | n_tokens=3634 | text=14.35KB | kv_est=1.11GB | pt=1.11GB | kv_time=4.300s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:53:15 | INFO | case=98 | id=mass_57/html/0188-01.html | n_tokens=1849 | text=7.23KB | kv_est=577.81MB | pt=577.83MB | kv_time=2.251s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:53:21 | INFO | case=99 | id=mass_57/html/0191-01.html | n_tokens=5192 | text=20.59KB | kv_est=1.58GB | pt=1.58GB | kv_time=6.139s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:53:26 | INFO | case=100 | id=mass_57/html/0201-01.html | n_tokens=3120 | text=11.89KB | kv_est=975.00MB | pt=975.02MB | kv_time=3.773s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:53:26 | INFO | PROGRESS cases=100 (skipped: not_reporter=461032, bad_id=41, missing_text=0, already_exists=762) | pt_total=118.20GB | kv_time_sum=487.4s | wall=616.7s
2026-03-23 18:53:29 | INFO | case=101 | id=mass_57/html/0206-01.html | n_tokens=3067 | text=11.79KB | kv_est=958.44MB | pt=958.46MB | kv_time=3.613s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:53:34 | INFO | case=102 | id=mass_57/html/0212-01.html | n_tokens=3785 | text=14.54KB | kv_est=1.16GB | pt=1.16GB | kv_time=4.618s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:53:38 | INFO | case=103 | id=mass_57/html/0219-01.html | n_tokens=2928 | text=11.01KB | kv_est=915.00MB | pt=915.02MB | kv_time=3.770s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:53:40 | INFO | case=104 | id=mass_57/html/0224-01.html | n_tokens=2180 | text=7.89KB | kv_est=681.25MB | pt=681.27MB | kv_time=2.795s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:53:43 | INFO | case=105 | id=mass_57/html/0228-01.html | n_tokens=2148 | text=8.24KB | kv_est=671.25MB | pt=671.27MB | kv_time=2.637s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:53:45 | INFO | case=106 | id=mass_57/html/0232-01.html | n_tokens=1546 | text=6.24KB | kv_est=483.12MB | pt=483.15MB | kv_time=1.881s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:53:47 | INFO | case=107 | id=mass_57/html/0235-01.html | n_tokens=1442 | text=5.47KB | kv_est=450.62MB | pt=450.65MB | kv_time=1.848s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:53:50 | INFO | case=108 | id=mass_57/html/0238-01.html | n_tokens=2876 | text=10.77KB | kv_est=898.75MB | pt=898.77MB | kv_time=3.492s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:53:59 | INFO | case=109 | id=mass_57/html/0243-01.html | n_tokens=7434 | text=29.93KB | kv_est=2.27GB | pt=2.27GB | kv_time=8.979s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:54:02 | INFO | case=110 | id=mass_57/html/0257-01.html | n_tokens=2216 | text=8.29KB | kv_est=692.50MB | pt=692.52MB | kv_time=2.555s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:54:04 | INFO | case=111 | id=mass_57/html/0261-01.html | n_tokens=1485 | text=5.48KB | kv_est=464.06MB | pt=464.08MB | kv_time=1.760s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:54:07 | INFO | case=112 | id=mass_57/html/0263-01.html | n_tokens=2720 | text=10.60KB | kv_est=850.00MB | pt=850.02MB | kv_time=3.201s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:54:08 | INFO | case=113 | id=mass_57/html/0269-01.html | n_tokens=741 | text=2.81KB | kv_est=231.56MB | pt=231.58MB | kv_time=0.932s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:54:10 | INFO | case=114 | id=mass_57/html/0270-01.html | n_tokens=2305 | text=9.13KB | kv_est=720.31MB | pt=720.33MB | kv_time=2.620s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:54:13 | INFO | case=115 | id=mass_57/html/0274-01.html | n_tokens=2591 | text=10.71KB | kv_est=809.69MB | pt=809.71MB | kv_time=2.959s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:54:17 | INFO | case=116 | id=mass_57/html/0279-01.html | n_tokens=3351 | text=12.31KB | kv_est=1.02GB | pt=1.02GB | kv_time=3.765s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:54:20 | INFO | case=117 | id=mass_57/html/0285-01.html | n_tokens=2539 | text=9.40KB | kv_est=793.44MB | pt=793.46MB | kv_time=2.830s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:54:27 | INFO | case=118 | id=mass_57/html/0290-01.html | n_tokens=5855 | text=22.27KB | kv_est=1.79GB | pt=1.79GB | kv_time=7.122s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:54:30 | INFO | case=119 | id=mass_57/html/0300-01.html | n_tokens=2801 | text=11.11KB | kv_est=875.31MB | pt=875.33MB | kv_time=3.385s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:54:39 | INFO | case=120 | id=mass_57/html/0306-01.html | n_tokens=6645 | text=25.98KB | kv_est=2.03GB | pt=2.03GB | kv_time=8.435s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:54:42 | INFO | case=121 | id=mass_57/html/0318-01.html | n_tokens=2488 | text=8.92KB | kv_est=777.50MB | pt=777.52MB | kv_time=3.000s | gpu_alloc=30.45GB gpu_reserved=30.45GB
