2026-05-08 10:03:25 | INFO | mode=benchmark | max_tokens=17000 | reporters=['davis-l-ct-cas', 'mass', 'mass-app-ct', 'mass-app-dec', 'mass-app-div', 'mass-app-div-annual', 'mass-l-rptr', 'mass-supp', 'rec-co-ct', 'rep-cont-el', 'rep-cont-elect-case', 'super-ct-jud']
2026-05-08 10:07:18 | INFO | case=49 | id=mass_5/html/0208-01.html | n_tokens=2115 | text=9.59KB | kv_est=165.23MB | pt=165.26MB | kv_time=0.279s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:18 | INFO | case=50 | id=mass_5/html/0211-01.html | n_tokens=1960 | text=8.76KB | kv_est=153.12MB | pt=153.15MB | kv_time=0.270s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:18 | INFO | PROGRESS cases=50 (skipped: not_reporter=461032, bad_id=0, unresolvable_id=41, missing_text=0, max_tokens=0, already_exists=0) | pt_total=9.73GB | kv_time_sum=20.1s | wall=162.7s
2026-05-08 10:07:19 | INFO | case=51 | id=mass_5/html/0215-01.html | n_tokens=2747 | text=11.58KB | kv_est=214.61MB | pt=214.63MB | kv_time=0.339s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:19 | INFO | case=52 | id=mass_5/html/0219-01.html | n_tokens=3498 | text=15.84KB | kv_est=273.28MB | pt=273.31MB | kv_time=0.402s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:19 | INFO | case=53 | id=mass_5/html/0226-01.html | n_tokens=2256 | text=10.20KB | kv_est=176.25MB | pt=176.27MB | kv_time=0.261s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:20 | INFO | case=54 | id=mass_5/html/0230-01.html | n_tokens=1726 | text=7.35KB | kv_est=134.84MB | pt=134.87MB | kv_time=0.206s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:20 | INFO | case=55 | id=mass_5/html/0233-01.html | n_tokens=1206 | text=5.44KB | kv_est=94.22MB | pt=94.24MB | kv_time=0.153s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:20 | INFO | case=56 | id=mass_5/html/0235-01.html | n_tokens=1536 | text=6.90KB | kv_est=120.00MB | pt=120.02MB | kv_time=0.187s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:20 | INFO | case=57 | id=mass_5/html/0238-01.html | n_tokens=488 | text=1.99KB | kv_est=38.12MB | pt=38.15MB | kv_time=0.085s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:20 | INFO | case=58 | id=mass_5/html/0239-01.html | n_tokens=1076 | text=4.52KB | kv_est=84.06MB | pt=84.09MB | kv_time=0.152s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:20 | INFO | case=59 | id=mass_5/html/0241-01.html | n_tokens=763 | text=3.32KB | kv_est=59.61MB | pt=59.63MB | kv_time=0.111s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:20 | INFO | case=60 | id=mass_5/html/0242-01.html | n_tokens=1947 | text=8.39KB | kv_est=152.11MB | pt=152.13MB | kv_time=0.226s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:21 | INFO | case=61 | id=mass_5/html/0246-01.html | n_tokens=508 | text=2.22KB | kv_est=39.69MB | pt=39.71MB | kv_time=0.088s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:21 | INFO | case=62 | id=mass_5/html/0247-01.html | n_tokens=157 | text=686.00B | kv_est=12.27MB | pt=12.29MB | kv_time=0.058s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:21 | INFO | case=63 | id=mass_5/html/0247-02.html | n_tokens=238 | text=1.04KB | kv_est=18.59MB | pt=18.62MB | kv_time=0.060s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:21 | INFO | case=64 | id=mass_5/html/0248-01.html | n_tokens=1293 | text=5.72KB | kv_est=101.02MB | pt=101.04MB | kv_time=0.165s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:21 | INFO | case=65 | id=mass_5/html/0251-01.html | n_tokens=479 | text=2.04KB | kv_est=37.42MB | pt=37.45MB | kv_time=0.081s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:21 | INFO | case=66 | id=mass_5/html/0252-01.html | n_tokens=923 | text=4.27KB | kv_est=72.11MB | pt=72.13MB | kv_time=0.126s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:21 | INFO | case=67 | id=mass_5/html/0254-01.html | n_tokens=766 | text=3.39KB | kv_est=59.84MB | pt=59.87MB | kv_time=0.130s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:21 | INFO | case=68 | id=mass_5/html/0255-01.html | n_tokens=1758 | text=7.62KB | kv_est=137.34MB | pt=137.37MB | kv_time=0.221s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:22 | INFO | case=69 | id=mass_5/html/0259-01.html | n_tokens=2732 | text=12.40KB | kv_est=213.44MB | pt=213.46MB | kv_time=0.310s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:22 | INFO | case=70 | id=mass_5/html/0264-01.html | n_tokens=771 | text=3.32KB | kv_est=60.23MB | pt=60.26MB | kv_time=0.141s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:22 | INFO | case=71 | id=mass_5/html/0266-01.html | n_tokens=541 | text=2.23KB | kv_est=42.27MB | pt=42.29MB | kv_time=0.108s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:22 | INFO | case=72 | id=mass_5/html/0267-01.html | n_tokens=3920 | text=16.59KB | kv_est=306.25MB | pt=306.27MB | kv_time=0.427s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:23 | INFO | case=73 | id=mass_5/html/0273-01.html | n_tokens=1154 | text=5.22KB | kv_est=90.16MB | pt=90.18MB | kv_time=0.155s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:23 | INFO | case=74 | id=mass_5/html/0276-01.html | n_tokens=1221 | text=5.64KB | kv_est=95.39MB | pt=95.41MB | kv_time=0.182s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:23 | INFO | case=75 | id=mass_5/html/0278-01.html | n_tokens=2196 | text=8.65KB | kv_est=171.56MB | pt=171.59MB | kv_time=0.254s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:23 | INFO | case=76 | id=mass_5/html/0281-01.html | n_tokens=414 | text=1.78KB | kv_est=32.34MB | pt=32.37MB | kv_time=0.081s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:23 | INFO | case=77 | id=mass_5/html/0282-01.html | n_tokens=370 | text=1.59KB | kv_est=28.91MB | pt=28.93MB | kv_time=0.302s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:24 | INFO | case=78 | id=mass_5/html/0284-01.html | n_tokens=3634 | text=16.11KB | kv_est=283.91MB | pt=283.93MB | kv_time=0.392s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:24 | INFO | case=79 | id=mass_5/html/0290-01.html | n_tokens=339 | text=1.45KB | kv_est=26.48MB | pt=26.51MB | kv_time=0.070s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:24 | INFO | case=80 | id=mass_5/html/0292-01.html | n_tokens=227 | text=1.04KB | kv_est=17.73MB | pt=17.76MB | kv_time=0.059s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:24 | INFO | case=81 | id=mass_5/html/0293-01.html | n_tokens=1649 | text=7.47KB | kv_est=128.83MB | pt=128.85MB | kv_time=0.200s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:24 | INFO | case=82 | id=mass_5/html/0296-01.html | n_tokens=338 | text=1.58KB | kv_est=26.41MB | pt=26.43MB | kv_time=0.289s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:25 | INFO | case=83 | id=mass_5/html/0296-02.html | n_tokens=1844 | text=8.29KB | kv_est=144.06MB | pt=144.09MB | kv_time=0.216s | gpu_alloc=6.35GB gpu_reserved=6.35GB
